det_magR,RA,DEC,Reference,R,B,det_magB
2.327612,323.4003501338949,-0.883217291049747,M2-S24,16.25,16.318,0.7890579
2.8185444,323.3372161675905,-0.8810419287426768,M2-S806,16.571,16.597,1.1302091
2.0843897,323.353930620269,-0.8793012444307705,M2-S509,16.299,17.507,1.8736207
1.8145983,323.3425003349595,-0.8733102623715782,M2-S487,15.94,16.263,0.63236946
0.9828967,323.4077474668361,-0.8723367612824502,M2-S95,15.27,16.583,0.7636218
0.3715415,323.3891106534097,-0.872193067359103,M2-S558,14.634,16.046,0.25125533
2.9328966,323.3614260784888,-0.8717343400381857,M2-S521,16.977,18.124,2.5889995
-0.6714701,323.35584688378276,-0.8714022637238884,M2-S510,13.627,15.078,-0.78498805
-1.1633409,323.3789385211405,-0.8709611653270672,M2-S542,13.14,14.962,-1.0293512
1.1323452,323.3685463672525,-0.86996213674738,M2-S528,15.545,16.829,0.8556917
2.9214501,323.3967869206184,-0.8678584240920886,M2-S11,17.199,18.299,2.4939623
1.5509918,323.33158015179964,-0.8670356961585611,M2-S474,15.71,16.997,1.3567556
1.8246315,323.32377162727147,-0.8661690925432153,M2-S463,15.882,16.114,0.52197224
3.6779752,323.4023803641418,-0.8658952303726731,M2-S68,17.334,18.43,3.34247
-0.9937987,323.3272247790494,-0.865667770554573,M2-S468,13.316,15.111,-0.8200766
-0.411247,323.35603621235134,-0.8634645665412293,M2-S512,13.919,15.424,-0.48550522
0.24690884,323.3340234070439,-0.8631673343973579,M2-S476,14.524,15.818,0.0042112614
1.7746193,323.34035497437,-0.8623411038401122,M2-S484,15.903,16.199,0.56135774
4.4446945,323.4141705063072,-0.861901691587309,M2-S150,17.359,18.467,4.1540375
1.6607027,323.3332921180271,-0.8617769252827152,M2-S475,15.954,16.266,0.62206626
2.1930654,323.39518167331175,-0.8606307105019817,M2-S8,16.534,16.549,0.8509613
1.242954,323.33803358535613,-0.8602260373924097,M2-S482,15.507,16.823,1.0480897
2.5108635,323.3806514735859,-0.8589156085233094,M2-S333,16.649,16.615,1.0195904
2.0706942,323.3196997027109,-0.8585789524380857,M2-S456,16.114,16.285,0.6784034
-1.264829,323.39296046077396,-0.8579336872042626,M2-S563,13.069,14.902,-1.0546757
2.595546,323.41547217561583,-0.8577126645970531,M2-S164,16.484,17.663,2.2996707
2.8623354,323.41783977011306,-0.8575724747323898,M2-S174,16.808,17.917,2.5008008
-0.05028278,323.310412387868,-0.8574190883587521,M2-S437,14.21,15.791,-0.07301754
1.1684178,323.40265315084275,-0.8562523078841603,M2-S81,15.42,16.73,0.93394876
2.7926288,323.39563503252987,-0.8556378065078183,M2-S25,17.201,18.332,2.4371517
2.0614967,323.4182059640784,-0.8557506955571922,M2-S178,16.164,17.386,1.7726077
1.0535117,323.31334817026055,-0.8546735551937353,M2-S442,15.27,16.804,1.0332106
2.3239384,323.4145253976126,-0.8544459583965794,M2-S162,16.393,17.607,2.0473657
2.7208164,323.4131506448413,-0.8538783416200733,M2-S151,17.029,18.177,2.4033687
0.24281608,323.3768986842429,-0.8533298261279788,M2-S329,14.698,16.095,0.032230597
